lc,angle_deg,d_eval_mm,EA_J,EA_std
LC1,66.25,63.26086956521739,23.899855047032453,0.5939455978921068
LC1,66.25,64.78260869565217,24.27461273543501,0.6037140616052786
LC1,66.25,66.30434782608695,24.649124707576735,0.6135062136952193
LC1,66.25,67.82608695652175,25.02350359377654,0.6233266070638486
LC1,66.25,69.34782608695653,25.39767878527803,0.6331416106468308
LC1,66.25,70.86956521739131,25.77142183331476,0.6428828022207916
LC1,66.25,72.3913043478261,26.144401753006353,0.6524650622383977
LC1,66.25,73.91304347826087,26.516256599610553,0.6618181128969701
LC1,66.25,75.43478260869566,26.886677603790726,0.6709088643944022
LC1,66.25,76.95652173913044,27.2554795914802,0.6797494135127199
LC1,66.25,78.47826086956522,27.622653804539482,0.6883652148470534
LC1,66.25,80.0,27.988386472066242,0.6967607674428973
LC2,50.0,45.0,16.69328244527181,0.21539810125933787
LC2,50.0,48.04347826086956,17.838735082875125,0.2246779512611132
LC2,50.0,51.08695652173913,18.965808868408203,0.23604812798189653
LC2,50.0,54.130434782608695,20.07751014727901,0.2477198834256107
LC2,50.0,57.173913043478265,21.177601008023615,0.2573351447337509
LC2,50.0,60.21739130434783,22.273261259143478,0.2645603618049169
LC2,50.0,63.26086956521739,23.37594432185814,0.27150751477375096
LC2,50.0,66.30434782608695,24.499627035021202,0.282214676520319
LC2,50.0,69.34782608695653,25.657905956397315,0.30167288322285
LC2,50.0,72.3913043478261,26.861200724247,0.3324672201664026
LC2,50.0,75.43478260869566,28.113490510102057,0.37323505589008904
LC2,50.0,78.47826086956522,29.409040667584552,0.42077810530579807
LC2,50.0,81.52173913043478,30.734259020303185,0.47033918060030305
LC2,50.0,84.56521739130434,32.074263812263226,0.5164782012203426
LC2,50.0,87.6086956521739,33.412269025609106,0.5548087518607705
LC2,50.0,90.65217391304348,34.72364728347116,0.582320730707568
LC2,50.0,93.69565217391305,35.97930791642931,0.601763820645774
LC2,50.0,96.73913043478261,37.15634362133229,0.6219598923496931
LC2,50.0,99.78260869565219,38.24389281249853,0.6493038537330783
LC2,50.0,102.82608695652175,39.24114213012843,0.6826107152123876
LC2,50.0,105.86956521739131,40.15275964875152,0.7164913731207047
LC2,50.0,108.91304347826087,40.9867758128954,0.7460005406610202
LC2,50.0,111.95652173913044,41.754955167355746,0.768493912773877
LC2,50.0,115.0,42.472427686055504,0.7838703804285414
LC2,56.25,45.0,16.1707337697347,0.17610255616756545
LC2,56.25,48.04347826086956,17.387712220638846,0.18750646869289045
LC2,56.25,51.08695652173913,18.642010347854686,0.19965122727186213
LC2,56.25,54.130434782608695,19.93110580720763,0.21346612617212457
LC2,56.25,57.173913043478265,21.246896296883556,0.22903010630133944
LC2,56.25,60.21739130434783,22.583126238578764,0.24547552416810972
LC2,56.25,63.26086956521739,23.94546225911753,0.2619473119158469
LC2,56.25,66.30434782608695,25.35935128714151,0.27818440360392577
LC2,56.25,69.34782608695653,26.873653342758406,0.294221180217768
LC2,56.25,72.3913043478261,28.558593611786332,0.3110009787545844
LC2,56.25,75.43478260869566,30.48896386888292,0.33547530357144517
LC2,56.25,78.47826086956522,32.70669397179056,0.38331571448576834
LC2,56.25,81.52173913043478,35.1885861751538,0.4610258609465413
LC2,56.25,84.56521739130434,37.851523274960726,0.5541693648166306
LC2,56.25,87.6086956521739,40.58274066390622,0.6473807218041121
LC2,56.25,90.65217391304348,43.267347243672994,0.7355083126050922
LC2,56.25,93.69565217391305,45.80774844441437,0.8180938844522575
LC2,56.25,96.73913043478261,48.1364699193245,0.8959537768436495
LC2,56.25,99.78260869565219,50.221301396687835,0.9713372984359069
LC2,56.25,102.82608695652175,52.06138690082347,1.0464517472751298
LC2,56.25,105.86956521739131,53.67680813148978,1.1212302980811089
